2025-08-13 11:31:54,646 INFO [main]	register protocol:1 success
2025-08-13 11:31:54,671 INFO [main]	register protocol:29 success
2025-08-13 11:31:54,672 INFO [main]	register protocol:4 success
2025-08-13 11:31:54,674 INFO [main]	register protocol:3 success
2025-08-13 11:31:54,675 INFO [main]	register protocol:31 success
2025-08-13 11:31:54,675 INFO [main]	register protocol:28 success
2025-08-13 11:31:54,675 INFO [main]	register protocol:32 success
2025-08-13 11:31:54,676 INFO [main]	register protocol:33 success
2025-08-13 11:31:54,676 INFO [main]	register protocol:30 success
2025-08-13 11:31:54,677 INFO [main]	register load balance factory:RandomLoadBalanceFactory success
2025-08-13 11:31:54,677 INFO [main]	register load balance factory:RoundRobinLoadBalanceFactory success
2025-08-13 11:31:54,677 INFO [main]	register load balance factory:WeightLoadBalanceFactory success
2025-08-13 11:31:54,677 INFO [main]	register load balance factory:FairLoadBalanceFactory success
